Neighborhood,Median_Gross_Rent,twoBR,oneBR,studio,threeBR,fourBR
Overall,1188,1428.36,1201.25,1156.97,1765.45,2213.96
10th & Page,1285,1544.99,1299.34,1251.44,1909.61,2394.73
Barracks / Rugby,1812,2178.62,1832.22,1764.68,2692.77,3376.86
Barracks Road,1038,1248.02,1049.58,1010.9,1542.55,1934.43
Belmont,1021,1227.58,1032.39,994.34,1517.29,1902.75
Fifeville,1103,1326.17,1115.31,1074.2,1639.15,2055.56
Fry's Spring,1292,1553.41,1306.42,1258.26,1920.01,2407.79
Greenbrier,1191,1431.97,1204.29,1159.9,1769.91,2219.55
Jefferson Park Avenue,1213,1458.42,1226.53,1181.32,1802.61,2260.55
Johnson Village,1319,1585.87,1333.72,1284.55,1960.14,2458.1
Lewis Mountain,1313,1578.66,1327.65,1278.71,1951.22,2446.92
Locust Grove,1371,1648.39,1386.3,1335.2,2037.41,2555.0
Martha Jefferson,1345,1617.13,1360.01,1309.88,1998.77,2506.55
North Downtown,1363,1638.77,1378.21,1327.4,2025.52,2540.09
Ridge Street,652,783.92,659.28,634.98,968.93,1215.08
Rose Hill,1100,1322.56,1112.27,1071.27,1634.68,2049.97
Starr Hill,1486,1786.66,1502.58,1447.19,2208.31,2769.32
The Meadows,892,1072.48,901.96,868.71,1325.59,1662.34
Venable,1181,1419.95,1194.18,1150.16,1755.06,2200.92
Woolen Mills,1049,1261.24,1060.7,1021.6,1558.89,1954.92
