NAME,Population,Year
10th & Page,859,2013
Barracks / Rugby,2068,2013
Barracks Road,435,2013
Belmont,3935,2013
Fifeville,3541,2013
Fry's Spring,3202,2013
Greenbrier,2244,2013
Jefferson Park Avenue,4483,2013
Johnson Village,1730,2013
Lewis Mountain,816,2013
Locust Grove,2270,2013
Martha Jefferson,1380,2013
North Downtown,2012,2013
Ridge Street,3306,2013
Rose Hill,1012,2013
Starr Hill,824,2013
The Meadows,1741,2013
Venable,6821,2013
Woolen Mills,984,2013
10th & Page,1099,2014
Barracks / Rugby,2117,2014
Barracks Road,497,2014
Belmont,4224,2014
Fifeville,3705,2014
Fry's Spring,3185,2014
Greenbrier,2106,2014
Jefferson Park Avenue,4450,2014
Johnson Village,1981,2014
Lewis Mountain,864,2014
Locust Grove,2151,2014
Martha Jefferson,1283,2014
North Downtown,2036,2014
Ridge Street,3455,2014
Rose Hill,922,2014
Starr Hill,854,2014
The Meadows,2079,2014
Venable,6342,2014
Woolen Mills,1155,2014
10th & Page,1116,2015
Barracks / Rugby,1990,2015
Barracks Road,696,2015
Belmont,4372,2015
Fifeville,3672,2015
Fry's Spring,3171,2015
Greenbrier,2257,2015
Jefferson Park Avenue,3800,2015
Johnson Village,2264,2015
Lewis Mountain,746,2015
Locust Grove,2109,2015
Martha Jefferson,1524,2015
North Downtown,2224,2015
Ridge Street,3715,2015
Rose Hill,831,2015
Starr Hill,1018,2015
The Meadows,2029,2015
Venable,6478,2015
Woolen Mills,1072,2015
10th & Page,1525,2016
Barracks / Rugby,2143,2016
Barracks Road,835,2016
Belmont,4396,2016
Fifeville,3767,2016
Fry's Spring,3320,2016
Greenbrier,2081,2016
Jefferson Park Avenue,3881,2016
Johnson Village,1796,2016
Lewis Mountain,838,2016
Locust Grove,2159,2016
Martha Jefferson,1584,2016
North Downtown,2136,2016
Ridge Street,3937,2016
Rose Hill,759,2016
Starr Hill,1078,2016
The Meadows,2063,2016
Venable,6190,2016
Woolen Mills,1050,2016
10th & Page,1596,2017
Barracks / Rugby,1965,2017
Barracks Road,880,2017
Belmont,4523,2017
Fifeville,3871,2017
Fry's Spring,3526,2017
Greenbrier,2168,2017
Jefferson Park Avenue,3961,2017
Johnson Village,2083,2017
Lewis Mountain,912,2017
Locust Grove,2155,2017
Martha Jefferson,1591,2017
North Downtown,2230,2017
Ridge Street,3879,2017
Rose Hill,839,2017
Starr Hill,1043,2017
The Meadows,1910,2017
Venable,6336,2017
Woolen Mills,1019,2017
10th & Page,1717,2018
Barracks / Rugby,2149,2018
Barracks Road,880,2018
Belmont,4517,2018
Fifeville,4053,2018
Fry's Spring,3490,2018
Greenbrier,2225,2018
Jefferson Park Avenue,3656,2018
Johnson Village,2124,2018
Lewis Mountain,930,2018
Locust Grove,2243,2018
Martha Jefferson,1488,2018
North Downtown,2024,2018
Ridge Street,4080,2018
Rose Hill,770,2018
Starr Hill,1186,2018
The Meadows,1964,2018
Venable,6469,2018
Woolen Mills,1077,2018
10th & Page,1615,2019
Barracks / Rugby,2036,2019
Barracks Road,904,2019
Belmont,4527,2019
Fifeville,4078,2019
Fry's Spring,3424,2019
Greenbrier,2180,2019
Jefferson Park Avenue,3637,2019
Johnson Village,2041,2019
Lewis Mountain,1004,2019
Locust Grove,2327,2019
Martha Jefferson,1769,2019
North Downtown,2026,2019
Ridge Street,4405,2019
Rose Hill,636,2019
Starr Hill,987,2019
The Meadows,1716,2019
Venable,6617,2019
Woolen Mills,1167,2019
10th & Page,1538,2020
Barracks / Rugby,1759,2020
Barracks Road,930,2020
Belmont,4137,2020
Fifeville,4577,2020
Fry's Spring,3118,2020
Greenbrier,2092,2020
Jefferson Park Avenue,3571,2020
Johnson Village,2026,2020
Lewis Mountain,942,2020
Locust Grove,2134,2020
Martha Jefferson,1803,2020
North Downtown,2717,2020
Ridge Street,4308,2020
Rose Hill,828,2020
Starr Hill,985,2020
The Meadows,1316,2020
Venable,7106,2020
Woolen Mills,1330,2020
10th & Page,1694,2021
Barracks / Rugby,1590,2021
Barracks Road,961,2021
Belmont,4313,2021
Fifeville,4357,2021
Fry's Spring,3322,2021
Greenbrier,2137,2021
Jefferson Park Avenue,3295,2021
Johnson Village,2042,2021
Lewis Mountain,902,2021
Locust Grove,2101,2021
Martha Jefferson,1854,2021
North Downtown,2887,2021
Ridge Street,3993,2021
Rose Hill,1056,2021
Starr Hill,898,2021
The Meadows,1469,2021
Venable,6620,2021
Woolen Mills,1106,2021
10th & Page,1741,2022
Barracks / Rugby,1706,2022
Barracks Road,1025,2022
Belmont,4167,2022
Fifeville,4226,2022
Fry's Spring,3259,2022
Greenbrier,2332,2022
Jefferson Park Avenue,3298,2022
Johnson Village,2036,2022
Lewis Mountain,993,2022
Locust Grove,2097,2022
Martha Jefferson,1647,2022
North Downtown,2815,2022
Ridge Street,3882,2022
Rose Hill,1057,2022
Starr Hill,962,2022
The Meadows,1172,2022
Venable,6483,2022
Woolen Mills,1391,2022
