vehicle_cat,annual_mileage,yearly_cost,monthly_cost
Small Sedan,10k,6229.0,519.0833333333334
Small Sedan,15k,7230.0,602.5
Small Sedan,20k,8249.0,687.4166666666666
Medium Sedan,10k,8214.0,684.5
Medium Sedan,15k,9366.0,780.5
Medium Sedan,20k,10538.0,878.1666666666666
Compact SUV,10k,7319.0,609.9166666666666
Compact SUV,15k,8494.0,707.8333333333334
Compact SUV,20k,9695.0,807.9166666666666
Medium SUV,10k,8584.0,715.3333333333334
Medium SUV,15k,9968.0,830.6666666666666
Medium SUV,20k,11381.0,948.4166666666666
Pickup,10k,7942.0,661.8333333333334
Pickup,15k,9415.0,784.5833333333334
Pickup,20k,10922.0,910.1666666666666
Hybrid,10k,7974.999999999999,664.5833333333334
Hybrid,15k,9009.0,750.75
Hybrid,20k,10068.0,839.0
EV,10k,8356.0,696.3333333333334
EV,15k,9293.0,774.4166666666666
EV,20k,10262.0,855.1666666666666
